timestamp,x,y,z
12.600,0.0000,0.0000,0.0000
12.702,0.0000,0.0000,0.0000
12.773,0.0000,0.0000,0.0000
12.833,0.0000,0.0000,0.0000
12.896,0.0000,0.0000,0.0000
12.957,0.0000,0.0000,0.0000
13.101,0.0000,0.0000,0.0000
13.216,0.0000,0.0000,0.0000
13.323,0.0000,0.0000,0.0000
13.428,0.0000,0.0000,0.0000
13.497,0.0000,0.0000,0.0000
13.599,0.0000,0.0000,0.0000
13.707,0.0000,0.0000,0.0000
13.830,0.0000,0.0000,0.0000
13.959,0.0000,0.0000,0.0000
14.081,0.0000,0.0000,0.0000
14.197,0.0000,0.0000,0.0000
14.299,0.0000,0.0000,0.0000
14.414,0.0000,0.0000,0.0000
14.476,0.0000,0.0000,0.0000
14.547,0.0000,0.0000,0.0000
14.640,0.0000,0.0000,0.0000
14.745,0.0000,0.0000,0.0000
14.850,0.0000,0.0000,0.0000
14.980,0.0000,0.0000,0.0000
15.107,0.0000,0.0000,0.0000
15.279,0.0000,0.0000,0.0000
15.402,0.0000,0.0000,0.0000
15.534,0.0000,0.0000,0.0000
15.597,0.0000,0.0000,0.0000
15.688,0.0000,0.0000,0.0000
15.835,0.0000,0.0000,0.0000
15.950,0.0000,0.0000,0.0000
16.076,0.0000,0.0000,0.0000
16.142,0.0000,0.0000,0.0000
16.236,0.0000,0.0000,0.0000
16.379,0.0000,0.0000,0.0000
16.508,0.0000,0.0000,0.0000
16.656,0.0000,0.0000,0.0000
16.787,0.0000,0.0000,0.0000
16.902,0.0000,0.0000,0.0000
17.026,0.0000,0.0000,0.0000
17.168,0.0000,0.0000,0.0000
17.277,0.0000,0.0000,0.0000
17.340,0.0000,0.0000,0.0000
17.401,0.0000,0.0000,0.0000
17.469,0.0000,0.0000,0.0000
17.531,0.0000,0.0000,0.0000
17.598,0.0000,0.0000,0.0000
17.663,0.0000,0.0000,0.0000
17.732,0.0000,0.0000,0.0000
17.798,0.0000,0.0000,0.0000
17.865,0.0000,0.0000,0.0000
17.932,0.0000,0.0000,0.0000
18.006,0.0000,0.0000,0.0000
18.069,0.0000,0.0000,0.0000
18.131,0.0000,0.0000,0.0000
18.196,0.0000,0.0000,0.0000
18.268,0.0000,0.0000,0.0000
18.331,0.0000,0.0000,0.0000
18.395,0.0000,0.0000,0.0000
18.459,0.0000,0.0000,0.0000
18.531,0.0000,0.0000,0.0000
18.593,0.0000,0.0000,0.0000
18.657,0.0000,0.0000,0.0000
18.718,0.0000,0.0000,0.0000
18.790,0.0000,0.0000,0.0000
18.851,0.0000,0.0000,0.0000
18.911,0.0000,0.0000,0.0000
18.971,0.0000,0.0000,0.0000
19.042,0.0000,0.0000,0.0000
19.104,0.0000,0.0000,0.0000
19.166,0.0000,0.0000,0.0000
19.256,0.0000,0.0000,0.0000
19.330,0.0000,0.0000,0.0000
19.392,0.0000,0.0000,0.0000
19.456,0.0000,0.0000,0.0000
19.516,0.0000,0.0000,0.0000
19.587,0.0000,0.0000,0.0000
19.649,0.0000,0.0000,0.0000
19.714,0.0000,0.0000,0.0000
19.784,0.0000,0.0000,0.0000
19.852,0.0000,0.0000,0.0000
19.917,0.0000,0.0000,0.0000
19.980,0.0000,0.0000,0.0000
20.053,0.0000,0.0000,0.0000
20.120,0.0000,0.0000,0.0000
20.183,0.0000,0.0000,0.0000
20.243,0.0000,0.0000,0.0000
20.311,0.0000,0.0000,0.0000
20.378,0.0000,0.0000,0.0000
20.441,0.0000,0.0000,0.0000
20.505,0.0000,0.0000,0.0000
20.566,0.0000,0.0000,0.0000
20.635,0.0000,0.0000,0.0000
20.702,0.0000,0.0000,0.0000
20.764,0.0000,0.0000,0.0000
20.827,0.0000,0.0000,0.0000
20.926,0.0000,0.0000,0.0000
20.994,0.0000,0.0000,0.0000
21.065,0.0000,0.0000,0.0000
21.143,0.0000,0.0000,0.0000
21.210,0.0000,0.0000,0.0000
21.272,0.0000,0.0000,0.0000
21.336,0.0000,0.0000,0.0000
21.400,0.0000,0.0000,0.0000
21.469,0.0000,0.0000,0.0000
21.532,0.0000,0.0000,0.0000
21.597,0.0000,0.0000,0.0000
21.662,0.0000,0.0000,0.0000
21.740,0.0000,0.0000,0.0000
21.802,0.0000,0.0000,0.0000
21.868,0.0000,0.0000,0.0000
